# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.31214 0.000029 0.004494 0.008265 0.827853 -0.012642 0.560526 0.017615 0.0003829060 -0.0000139210 0.0003444790 0.0012448145 0.0000055624 0.0011073972 0.0017630351 0.0000000002 0.0000000114 0.0017630347 -0.0000055822 0.0002602300
1403715278.36214 -0.000344 0.005103 0.010498 0.827372 -0.013293 0.561191 0.018529 0.0004337752 -0.0000146254 0.0003432557 0.0012967927 0.0000058154 0.0011605532 0.0025415118 0.0000000003 0.0000006157 0.0025415114 -0.0000076989 0.0003193450
1403715278.41214 -0.000285 0.005807 0.012934 0.827146 -0.013515 0.561488 0.019428 0.0004902739 -0.0000157656 0.0003426729 0.0013537533 0.0000062542 0.0012180958 0.0035633651 0.0000000003 0.0000006241 0.0035633643 -0.0000104792 0.0003857070
1403715278.46214 0.000849 0.006823 0.015472 0.826262 -0.014621 0.562771 0.019135 0.0005501154 -0.0000141126 0.0003404386 0.0014158115 0.0000055479 0.0012821971 0.0048779191 -0.0000000005 -0.0000018902 0.0048779170 -0.0000145739 0.0004597501
1403715278.51214 0.003268 0.008210 0.018516 0.824959 -0.015618 0.564649 0.019237 0.0006139967 -0.0000131495 0.0003370955 0.0014828423 0.0000051003 0.0013522803 0.0065427673 -0.0000000034 -0.0000088191 0.0065427651 -0.0000205920 0.0005419571
1403715278.56214 0.007006 0.010189 0.023372 0.822019 -0.016861 0.568900 0.018816 0.0006790728 -0.0000110038 0.0003294422 0.0015549023 0.0000041396 0.0014311266 0.0086289984 -0.0000000118 -0.0000221354 0.0086290026 -0.0000298498 0.0006328699
1403715278.61214 0.011949 0.012598 0.030328 0.819131 -0.018069 0.573033 0.018217 0.0007494685 -0.0000085958 0.0003218497 0.0016319542 0.0000031403 0.0015146280 0.0112121387 -0.0000000302 -0.0000436874 0.0112121650 -0.0000427830 0.0007330748
1403715278.66214 0.018185 0.015562 0.039717 0.817826 -0.017673 0.574871 0.019295 0.0008285401 -0.0000106005 0.0003183262 0.0017139075 0.0000038241 0.0015995138 0.0143773406 -0.0000000663 -0.0000763134 0.0143774176 -0.0000608721 0.0008432255
1403715278.71214 0.025487 0.019235 0.052065 0.816385 -0.019295 0.576915 0.017668 0.0009123228 -0.0000062420 0.0003145671 0.0018009861 0.0000022314 0.0016895468 0.0182220845 -0.0000001304 -0.0001219102 0.0182222505 -0.0000862125 0.0009640221
1403715278.76214 0.156121 0.014862 0.059700 0.824575 -0.021710 0.565066 0.017468 0.0005744382 -0.0000146919 0.0002364584 0.0010194298 -0.0000592731 0.0002453216 0.0102671391 -0.0017556175 0.0004628023 0.0049786127 0.0000169720 0.0006868469
1403715278.81214 0.151543 0.071172 0.085640 0.820811 -0.024756 0.570211 0.022705 0.0003159267 0.0000449228 0.0001186910 0.0004666885 -0.0000052386 0.0000529797 0.0055344833 -0.0002078649 0.0002219366 0.0015721868 0.0000114898 0.0004169779
1403715278.86214 0.132566 0.069804 0.116159 0.816789 -0.023756 0.576215 0.016353 0.0002266927 0.0000059898 0.0000878986 0.0001032866 0.0000001633 0.0000397919 0.0014851695 0.0000375090 0.0001524361 0.0013693325 0.0000427492 0.0002709518
1403715278.91214 0.175677 0.057560 0.144159 0.818254 -0.023759 0.574185 0.014434 0.0001725252 0.0000066342 0.0000649728 0.0000289249 0.0000024690 0.0000302745 0.0005235204 0.0001973248 0.0000278321 0.0011900514 0.0000679278 0.0002452809
1403715278.96214 0.194717 0.045595 0.167220 0.817930 -0.023097 0.574717 0.012511 0.0001299942 0.0000092499 0.0000447093 0.0000259723 0.0000038380 0.0000213181 0.0005635226 0.0002418948 0.0000346414 0.0009627044 0.0000621646 0.0002541743
1403715279.01214 0.140190 0.030832 0.195113 0.814147 -0.022514 0.580080 0.012838 0.0001026740 0.0000081560 0.0000318400 0.0000158016 0.0000030987 0.0000159444 0.0003299093 0.0001696577 0.0000898286 0.0008353134 0.0000632542 0.0002413428
1403715279.06214 0.140293 0.027347 0.206287 0.813975 -0.022530 0.580331 0.012391 0.0000788001 0.0000028200 0.0000225155 0.0000103030 0.0000000692 0.0000124197 0.0001575145 0.0000621747 0.0000765568 0.0007398047 0.0000188544 0.0002539641
1403715279.11214 0.150773 0.033758 0.214472 0.814015 -0.022623 0.580245 0.013549 0.0000607993 0.0000043169 0.0000157402 0.0000098184 0.0000003563 0.0000103787 0.0001472342 0.0000906183 0.0000892465 0.0006289096 0.0000124377 0.0002698484
1403715279.16214 0.155371 0.034072 0.210134 0.814170 -0.022006 0.580036 0.014171 0.0000318275 0.0000036977 0.0000068122 0.0000094399 -0.0000001692 0.0000079685 0.0001326117 0.0000830134 0.0000791224 0.0003577031 -0.0000090024 0.0002637616
1403715279.21214 0.156698 0.037430 0.199000 0.814506 -0.021863 0.579541 0.015316 0.0000218608 0.0000033069 0.0000033482 0.0000093283 -0.0000005601 0.0000071869 0.0001166999 0.0000720714 0.0000615832 0.0002644185 -0.0000208966 0.0002482251
1403715279.26214 0.158532 0.039272 0.186678 0.814745 -0.021495 0.579208 0.015677 0.0000176098 0.0000031995 0.0000016251 0.0000095174 -0.0000006034 0.0000068309 0.0001101462 0.0000675813 0.0000512243 0.0002254845 -0.0000227270 0.0002372243
1403715279.31214 0.159385 0.038525 0.174923 0.815383 -0.021581 0.578314 0.015412 0.0000137319 0.0000029584 0.0000001014 0.0000098170 -0.0000007272 0.0000066762 0.0001014161 0.0000549608 0.0000435054 0.0001796710 -0.0000189583 0.0002235597
1403715279.36214 0.159572 0.040000 0.161835 0.815993 -0.022414 0.577433 0.014967 0.0000108374 0.0000028138 -0.0000012249 0.0000102657 -0.0000009137 0.0000064876 0.0000941467 0.0000425002 0.0000365437 0.0001387796 -0.0000150017 0.0002076313
1403715279.41214 0.165914 0.041809 0.159782 0.816320 -0.023040 0.576969 0.014075 0.0000109654 0.0000029819 -0.0000016827 0.0000083712 -0.0000008042 0.0000066840 0.0000935092 0.0000435548 0.0000293414 0.0001378887 -0.0000142043 0.0001921474
1403715279.46214 0.165697 0.039799 0.156431 0.817105 -0.023572 0.575852 0.013367 0.0000056569 0.0000017862 -0.0000014470 0.0000054941 -0.0000007765 0.0000063198 0.0000703154 0.0000186655 0.0000155676 0.0000790152 -0.0000094070 0.0001067009
1403715279.51214 0.171270 0.040029 0.157248 0.817494 -0.023788 0.575300 0.012905 0.0000059517 0.0000019210 -0.0000016105 0.0000058980 -0.0000007844 0.0000067211 0.0000774411 0.0000200411 0.0000186814 0.0000813963 -0.0000087422 0.0001092694
1403715279.56214 0.176914 0.040161 0.159258 0.817562 -0.023340 0.575209 0.013508 0.0000062453 0.0000020627 -0.0000017725 0.0000063420 -0.0000007975 0.0000071424 0.0000859150 0.0000215798 0.0000221067 0.0000840255 -0.0000078764 0.0001118382
1403715279.61214 0.182330 0.040119 0.162215 0.818131 -0.023428 0.574392 0.013691 0.0000065458 0.0000022072 -0.0000019362 0.0000068068 -0.0000008130 0.0000075946 0.0000959105 0.0000232624 0.0000258826 0.0000872845 -0.0000068079 0.0001146829
