# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.31214 0.000029 0.004494 0.008265 0.827853 -0.012642 0.560526 0.017615 0.0003829060 -0.0000139210 0.0003444790 0.0012448145 0.0000055624 0.0011073972 0.0017630351 0.0000000002 0.0000000114 0.0017630347 -0.0000055822 0.0002602300
1403715278.36214 -0.000344 0.005103 0.010498 0.827372 -0.013293 0.561191 0.018529 0.0004337752 -0.0000146254 0.0003432557 0.0012967927 0.0000058154 0.0011605532 0.0025415118 0.0000000003 0.0000006157 0.0025415114 -0.0000076989 0.0003193450
1403715278.41214 -0.000285 0.005807 0.012934 0.827146 -0.013515 0.561488 0.019428 0.0004902739 -0.0000157656 0.0003426729 0.0013537533 0.0000062542 0.0012180958 0.0035633651 0.0000000003 0.0000006241 0.0035633643 -0.0000104792 0.0003857070
1403715278.46214 0.000849 0.006823 0.015472 0.826262 -0.014621 0.562771 0.019135 0.0005501154 -0.0000141126 0.0003404386 0.0014158115 0.0000055479 0.0012821971 0.0048779191 -0.0000000005 -0.0000018902 0.0048779170 -0.0000145739 0.0004597501
1403715278.51214 0.003268 0.008210 0.018516 0.824959 -0.015618 0.564649 0.019237 0.0006139967 -0.0000131495 0.0003370955 0.0014828423 0.0000051003 0.0013522803 0.0065427673 -0.0000000034 -0.0000088191 0.0065427651 -0.0000205920 0.0005419571
1403715278.56214 0.007006 0.010189 0.023372 0.822019 -0.016861 0.568900 0.018816 0.0006790728 -0.0000110038 0.0003294422 0.0015549023 0.0000041396 0.0014311266 0.0086289984 -0.0000000118 -0.0000221354 0.0086290026 -0.0000298498 0.0006328699
1403715278.61214 0.011949 0.012598 0.030328 0.819131 -0.018069 0.573033 0.018217 0.0007494685 -0.0000085958 0.0003218497 0.0016319542 0.0000031403 0.0015146280 0.0112121387 -0.0000000302 -0.0000436874 0.0112121650 -0.0000427830 0.0007330748
1403715278.66214 0.018185 0.015562 0.039717 0.817826 -0.017673 0.574871 0.019295 0.0008285401 -0.0000106005 0.0003183262 0.0017139075 0.0000038241 0.0015995138 0.0143773406 -0.0000000663 -0.0000763134 0.0143774176 -0.0000608721 0.0008432255
1403715278.71214 0.025487 0.019235 0.052065 0.816385 -0.019295 0.576915 0.017668 0.0009123228 -0.0000062420 0.0003145671 0.0018009861 0.0000022314 0.0016895468 0.0182220845 -0.0000001304 -0.0001219102 0.0182222505 -0.0000862125 0.0009640221
1403715278.76214 0.155902 0.021183 0.060374 0.824687 -0.020973 0.564924 0.017688 0.0004919735 0.0000006335 0.0001789022 0.0008955373 -0.0000130941 0.0001212943 0.0091629699 -0.0012017352 0.0005602603 0.0036589540 -0.0002537758 0.0005322377
1403715278.81214 0.155305 0.053859 0.089893 0.821514 -0.023205 0.569340 0.020706 0.0002506820 0.0000446636 0.0000793424 0.0004122238 0.0000131582 0.0000289518 0.0049359467 0.0000015839 0.0003030805 0.0010579847 -0.0000203814 0.0003180732
1403715278.86214 0.114964 0.021079 0.169893 0.819025 -0.021284 0.573262 0.010719 0.0000101107 0.0000025892 0.0000031000 0.0000052250 0.0000007168 0.0000010656 0.0000729726 0.0000215447 0.0000147023 0.0000596986 -0.0000000002 0.0000701722
1403715278.91214 0.108135 0.029656 0.157904 0.817823 -0.021856 0.574919 0.012446 0.0000024669 0.0000007376 0.0000007200 0.0000018428 0.0000001008 0.0000003334 0.0000276687 0.0000045573 0.0000174397 0.0000184864 0.0000012650 0.0000497589
1403715278.96214 0.119703 0.030994 0.179432 0.817309 -0.021517 0.575662 0.012488 0.0000016554 0.0000006489 0.0000004610 0.0000018490 0.0000000761 0.0000002587 0.0000272313 0.0000040709 0.0000185162 0.0000134446 0.0000019008 0.0000471374
1403715279.01214 0.134144 0.033102 0.200520 0.817320 -0.020845 0.575651 0.013380 0.0000017557 0.0000006910 0.0000004585 0.0000019762 0.0000000776 0.0000002612 0.0000303772 0.0000048868 0.0000227779 0.0000146646 0.0000023502 0.0000508582
1403715279.06214 0.147552 0.034885 0.216011 0.817738 -0.020647 0.575055 0.013760 0.0000017988 0.0000007002 0.0000004398 0.0000019498 0.0000000782 0.0000002610 0.0000325991 0.0000056708 0.0000260102 0.0000156772 0.0000028216 0.0000531508
1403715279.11214 0.159378 0.036165 0.224074 0.817710 -0.020354 0.575100 0.013965 0.0000018486 0.0000007046 0.0000004255 0.0000018241 0.0000000843 0.0000002674 0.0000342506 0.0000065924 0.0000284067 0.0000168977 0.0000032468 0.0000544726
1403715279.16214 0.164020 0.035123 0.220504 0.817873 -0.019497 0.574890 0.014312 0.0000018961 0.0000006885 0.0000004018 0.0000018620 0.0000000607 0.0000002729 0.0000355602 0.0000066755 0.0000305764 0.0000179640 0.0000027463 0.0000559883
1403715279.21214 0.173039 0.035795 0.218874 0.818524 -0.018944 0.573964 0.014986 0.0000019901 0.0000007094 0.0000003978 0.0000019631 0.0000000567 0.0000002895 0.0000388172 0.0000074736 0.0000348665 0.0000197054 0.0000031368 0.0000601033
1403715279.26214 0.167284 0.033692 0.198863 0.818627 -0.018370 0.573839 0.014900 0.0000019220 0.0000006762 0.0000003509 0.0000020012 0.0000000436 0.0000002946 0.0000373749 0.0000070785 0.0000334208 0.0000198208 0.0000025903 0.0000574477
1403715279.31214 0.167275 0.032785 0.186101 0.819262 -0.018328 0.572937 0.014729 0.0000019859 0.0000006754 0.0000003366 0.0000020634 0.0000000317 0.0000003130 0.0000372715 0.0000071274 0.0000333760 0.0000212595 0.0000022598 0.0000566883
1403715279.36214 0.163993 0.031430 0.170282 0.819840 -0.018659 0.572118 0.013962 0.0000018598 0.0000007092 0.0000002852 0.0000017217 0.0000000479 0.0000003197 0.0000318914 0.0000074219 0.0000268400 0.0000209180 0.0000024805 0.0000481277
1403715279.41214 0.163806 0.030778 0.160867 0.819931 -0.019153 0.571993 0.013056 0.0000015989 0.0000006495 0.0000002044 0.0000015370 0.0000000187 0.0000003204 0.0000223410 0.0000062878 0.0000179746 0.0000181919 0.0000033770 0.0000301649
1403715279.46214 0.163563 0.032892 0.154805 0.820694 -0.019260 0.570899 0.012844 0.0000013832 0.0000005505 0.0000001769 0.0000009939 0.0000000272 0.0000002664 0.0000129087 0.0000046893 0.0000091308 0.0000151916 0.0000022659 0.0000153210
1403715279.51214 0.165728 0.033151 0.152820 0.820994 -0.019408 0.570472 0.012387 0.0000010603 0.0000004091 0.0000001012 0.0000007765 -0.0000000095 0.0000002652 0.0000113056 0.0000035063 0.0000071772 0.0000124823 0.0000021907 0.0000102572
1403715279.56214 0.170906 0.033197 0.154680 0.821067 -0.018833 0.570374 0.012962 0.0000011155 0.0000004339 0.0000000984 0.0000008285 -0.0000000110 0.0000002892 0.0000125754 0.0000038163 0.0000076058 0.0000131932 0.0000023072 0.0000105909
1403715279.61214 0.175860 0.033107 0.157491 0.821641 -0.018794 0.569545 0.013123 0.0000011738 0.0000004590 0.0000000937 0.0000008824 -0.0000000139 0.0000003148 0.0000141028 0.0000041595 0.0000080470 0.0000140144 0.0000024295 0.0000109819
